All songs with albums
Crazy Mama                                         | Anyway The Wind Blows - The Anthology
Crying                                             | Anyway The Wind Blows - The Anthology
Devil In Disguise                                  | Anyway The Wind Blows - The Anthology
Don't Cry Sister                                   | Anyway The Wind Blows - The Anthology
Don't Wait                                         | Anyway The Wind Blows - The Anthology
Downtown L.A.                                      | Anyway The Wind Blows - The Anthology
Durango                                            | Anyway The Wind Blows - The Anthology
Everlovin' Woman                                   | Anyway The Wind Blows - The Anthology
Hard Times                                         | Anyway The Wind Blows - The Anthology
Hey Baby                                           | Anyway The Wind Blows - The Anthology
Humdinger                                          | Anyway The Wind Blows - The Anthology
I Got The Same Old Blues                           | Anyway The Wind Blows - The Anthology
I'll Make Love To You Anytime                      | Anyway The Wind Blows - The Anthology
If You're Ever In Oklahoma                         | Anyway The Wind Blows - The Anthology
Jailer                                             | Anyway The Wind Blows - The Anthology
Lies                                               | Anyway The Wind Blows - The Anthology
Lonesome Train                                     | Anyway The Wind Blows - The Anthology
Long Way Home                                      | Anyway The Wind Blows - The Anthology
Magnolia                                           | Anyway The Wind Blows - The Anthology
Mama Don't                                         | Anyway The Wind Blows - The Anthology
Midnight In Memphis                                | Anyway The Wind Blows - The Anthology
Money Talks                                        | Anyway The Wind Blows - The Anthology
New Orleans                                        | Anyway The Wind Blows - The Anthology
People Lie                                         | Anyway The Wind Blows - The Anthology
Ride Me High                                       | Anyway The Wind Blows - The Anthology
Rock And Roll Records                              | Anyway The Wind Blows - The Anthology
Runaround                                          | Anyway The Wind Blows - The Anthology
Santa Cruz                                         | Anyway The Wind Blows - The Anthology
Sensitive Kind                                     | Anyway The Wind Blows - The Anthology
Shanghaid                                          | Anyway The Wind Blows - The Anthology
The Woman That Got Away                            | Anyway The Wind Blows - The Anthology
Things Ain't Simple                                | Anyway The Wind Blows - The Anthology
Thirteen Days                                      | Anyway The Wind Blows - The Anthology
Trouble In The City                                | Anyway The Wind Blows - The Anthology
Unemployment                                       | Anyway The Wind Blows - The Anthology
Wish I Had Me A Dollar (Live)                      | Anyway The Wind Blows - The Anthology
Woke Up This Morning                               | Anyway The Wind Blows - The Anthology
You Keep Me Hangin' On                             | Anyway The Wind Blows - The Anthology
Apostrophe'                                        | Apostrophe (')      
Cosmik Debris                                      | Apostrophe (')      
Don't Eat the Yellow Snow                          | Apostrophe (')      
Excentrifugal Forz                                 | Apostrophe (')      
Father O'Blivion                                   | Apostrophe (')      
Nanook Rubs It                                     | Apostrophe (')      
St. Alfonzo's Pancake Breakfast                    | Apostrophe (')      
Stink-Foot                                         | Apostrophe (')      
Uncle Remus                                        | Apostrophe (')      
Blowin' Free                                       | Argus               
Jail Bait (Live from Memphis 21-08-1972)           | Argus               
Leaf And Stream                                    | Argus               
Phoenix (Live from Memphis 21-08-1972)             | Argus               
Sometime World                                     | Argus               
The King Will Come                                 | Argus               
The Pilgrim (Live from Memphis 21-08-1972)         | Argus               
Throw Down The Sword                               | Argus               
Time Was                                           | Argus               
Warrior                                            | Argus               
Amor Ti Vieta (Love forbids) from Giordano's 'Fedora' | Aria                
Au Fond Du Temple Saint (Deep inside this holy place) from Bizet's 'The Pearlfisher' | Aria                
Ch'Ella Mi Creda (Let her believe it) from Puccini's 'Girl of the Golden West' | Aria                
Donna Non Vidi Mai (Never seen a woman like that) from Puccini's 'Manon Lescaut' | Aria                
E Lucevan Le Stelle (The stars were shining) from Puccini's 'Tosca' | Aria                
Flower Duet (From Delibes` Lakmé)                  | Aria                
Je Crois Entendre Encore (I still hear her sweet voice) from Bizet's 'The Pearlfisher' | Aria                
My Man's Gone Now (From Gershwin's 'Porgy & Bess') | Aria                
O Mio Babbino Caro (Oh my sweet Papa) from Puccini's 'Gianni Schicchi' | Aria                
O Soave Fanciulla (Oh sweet little lady) from Puccini's 'La Bohème' | Aria                
Pourquoi Me Reveiller (Why do you wake me up ) from Massenet's 'Werther' | Aria                
Vissi D'Arte (I lived for Art) from Puccini's 'Tosca' | Aria                
A Coral Room                                       | Arial               
Bertie                                             | Arial               
How to Be Invisible                                | Arial               
Joanni                                             | Arial               
King of the Mountain                               | Arial               
Mrs. Bartolozzi                                    | Arial               
Preludeprologueanarchitectsdreamthepainterslinksunsetaerialtalsomewhereinbetweennocturnaerial | Arial               
π                                                  | Arial               
Chronoglide Skyway                                 | Astounding Sounds Amazing Music
City of Lagoons                                    | Astounding Sounds Amazing Music
Kadu Flyer                                         | Astounding Sounds Amazing Music
Kerb Crawler                                       | Astounding Sounds Amazing Music
Reefer Madness                                     | Astounding Sounds Amazing Music
Steppenwolf                                        | Astounding Sounds Amazing Music
The Aubergine That Ate Rangoon                     | Astounding Sounds Amazing Music
Blood Milk And Sky                                 | Astro-Creep         
Blur The Technicolor                               | Astro-Creep         
Creature Of The Wheel                              | Astro-Creep         
